,match_id,blue_top,blue_jungle,blue_middle,blue_bottom,blue_support,red_top,red_jungle,red_middle,red_bottom,red_support,blue_win
195,NA1_4621117628,Garen,LeeSin,Diana,Kaisa,Nami,Syndra,Elise,Zed,Varus,Milio,False
196,NA1_4626357165,Jax,LeeSin,Zed,Karthus,Nautilus,Poppy,Elise,Kled,Tristana,Pyke,True
197,NA1_4631248566,Pantheon,Talon,Viktor,Draven,Thresh,Akshan,Gragas,Diana,Ezreal,Karma,False
198,NA1_4630536032,Pantheon,LeeSin,Ekko,Draven,Thresh,Jayce,RekSai,Anivia,Xayah,Yuumi,False
199,NA1_4628008122,Malphite,LeeSin,KogMaw,Twitch,Rakan,Rumble,Ekko,Irelia,Xayah,Lulu,False
200,NA1_4622145795,Rumble,JarvanIV,Diana,Kaisa,Nautilus,Jax,Gragas,Yasuo,Jinx,Thresh,False
201,NA1_4629696558,Garen,Jax,Sylas,Varus,Karma,KSante,Kindred,Rumble,Tristana,Pyke,True
202,NA1_4620777104,Shen,Zac,Cassiopeia,Lucian,Taric,Garen,Ekko,Akshan,MissFortune,Annie,True
203,NA1_4627371639,Sion,FiddleSticks,Jayce,Samira,Leona,Malphite,Graves,KSante,Karthus,Pyke,False
204,NA1_4627081209,Illaoi,Gragas,Irelia,Varus,Nautilus,Jayce,Olaf,Anivia,Zeri,Lux,True
205,NA1_4631636057,Kennen,LeeSin,Leblanc,Xayah,Rakan,Irelia,Rengar,Syndra,Draven,Renata,False
206,NA1_4630459360,Riven,Kindred,Syndra,Ezreal,Seraphine,Renekton,Lillia,Irelia,Karma,Xayah,True
207,NA1_4612000550,Malphite,JarvanIV,Orianna,Aphelios,Thresh,Gragas,Sejuani,Irelia,Jinx,Blitzcrank,True
208,NA1_4630510667,Renekton,Karthus,Zoe,Ezreal,Xerath,Quinn,Lillia,Lux,Vayne,Pyke,True
209,NA1_4628050282,Jax,Kindred,Kennen,Ezreal,Rakan,Ornn,Viego,Annie,Varus,Nautilus,False
210,NA1_4626055168,Ornn,Viego,Orianna,Tristana,Rell,Sion,Graves,Zoe,Zeri,Seraphine,True
211,NA1_4620408871,Sion,Gragas,Yasuo,Aphelios,Pyke,Darius,Graves,FiddleSticks,Samira,Nautilus,False
